sample,sample_code,species,region,sample_type,order,sex,country,latitude,longitude,singlem_fraction,reads_post_fastp,host_reads,reads_lost_fastp_percent,metagenomic_bases,host_bases,bases_lost_fastp_percent,diversity,C,season,type,richness,neutral,phylogenetic,functional
EHI02577,AGO98E1L1I1,Lissotriton helveticus,Aia,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.260047,-2.151175,0.6854,25653684,1164,0.01928770677633362,3784823034,159264,0.03536176473196795,18.0639189505693,0.871961858524465,autumn,protected,134,42.62825065230347,3.39724294918845,1.45059478040982
EHI02576,AGO08E1L1I1,Lissotriton helveticus,Donostia,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.280226,-2.009986,0.6859999999999999,38115610,10380,0.02785094248871988,5609125640,1466596,0.04600207031406023,18.3244184740686,0.87651647635783,autumn,urban,223,80.15719971070335,6.355672703650713,1.5536346875141862
EHI02631,AGO05E1L1I1,Lissotriton helveticus,Irun,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.326249,-1.77319,0.56,37972038,21856,0.03023695272621851,5582505514,3383238,0.04895131906064487,21.5272013759681,0.504352088974344,autumn,natural,80,38.803664464979875,8.003798287437776,1.6610973925749912
EHI02621,AGO49E1L1I1,Lissotriton helveticus,Usurbil,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.294316,-2.046839,0.4581,29548092,5621,0.02055339820307178,4342572145,880545,0.04016814863799511,19.0412814230854,0.849953221930552,autumn,natural,193,86.76714317179514,6.51626744315537,1.5367716382389167
EHI02623,AGO21E1L1I1,Lissotriton helveticus,Donostia,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.280226,-2.009986,0.731,22354912,1542,0.02544277898864666,3297503542,230072,0.0415737694112247,18.6872848072838,0.849294183935434,autumn,urban,176,70.91566634737814,4.626085737399882,1.5912730383162177
EHI01442,AAO97E1L1I1,Lissotriton helveticus,Usurbil,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.294316,-2.046839,0.6208,21707600,21906,0.01822513107759149,3222187443,3948668,0.02727175198152609,19.2305829733327,0.742378842934791,spring,natural,177,67.78377132648866,8.805401785594787,1.5203913286871524
EHI02600,AGP23E1L1I1,Lissotriton helveticus,Irun,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.326249,-1.77319,0.5573,22949236,2407,0.0285252268014049,3377697245,372951,0.04667560537874882,21.3790840780384,0.450820978558634,autumn,natural,43,5.5586742309072275,2.4932761645084827,1.2464058712087085
EHI01621,AGO79E1L1I1,Lissotriton helveticus,Donostia,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.280226,-2.009986,0.6806,25293086,6238,0.0231368212478934,3738539422,908440,0.03717326143302857,19.4008238316733,0.802974188280464,spring,urban,317,173.27308784963435,6.993903631708964,1.5661823857572448
EHI02575,AGO89E1L1I1,Lissotriton helveticus,Aia,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.260047,-2.151175,0.7595000000000001,26241360,3224,0.02754823448006282,3879260126,451116,0.04150495071128224,18.3530058884904,0.892320112753197,autumn,protected,132,56.403271199694096,5.727829944861399,1.5547745603331025
EHI02601,AGO10E1L1I1,Lissotriton helveticus,Donostia,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.280226,-2.009986,0.6217,30549734,4047,0.0250652637526193,4495326883,546487,0.04348689949693785,19.3971500969565,0.837358176193098,autumn,urban,330,183.63252068150663,7.652398870198408,1.5336341731856074
